strain_name,strain_slug,strain_category,strain_popularity,strain_aliases,strain_id,condition_add_adhd_votes,condition_alzheimers_votes,condition_anorexia_votes,condition_anxiety_votes,condition_arthritis_votes,condition_asthma_votes,condition_bipolar_disorder_votes,condition_cachexia_votes,condition_cancer_votes,condition_crohns_disease_votes,condition_epilepsy_votes,condition_fibromyalgia_votes,condition_gastrointestinal_disorder_votes,condition_glaucoma_votes,condition_hiv_aids_votes,condition_hypertension_votes,condition_migraines_votes,condition_multiple_sclerosis_votes,condition_muscular_dystrophy_votes,condition_parkinsons_votes,condition_phantom_limb_pain_votes,condition_pms_votes,condition_ptsd_votes,condition_spinal_cord_injury_votes,condition_tinnitus_votes,condition_tourettes_syndrome_votes,effect_aroused_votes,effect_creative_votes,effect_energetic_votes,effect_euphoric_votes,effect_focused_votes,effect_giggly_votes,effect_happy_votes,effect_hungry_votes,effect_relaxed_votes,effect_sleepy_votes,effect_talkative_votes,effect_tingly_votes,effect_uplifted_votes,flavor_ammonia_votes,flavor_apple_votes,flavor_apricot_votes,flavor_berry_votes,flavor_blue_cheese_votes,flavor_blueberry_votes,flavor_butter_votes,flavor_cheese_votes,flavor_chemical_votes,flavor_chestnut_votes,flavor_citrus_votes,flavor_coffee_votes,flavor_diesel_votes,flavor_earthy_votes,flavor_flowery_votes,flavor_grape_votes,flavor_grapefruit_votes,flavor_honey_votes,flavor_lavender_votes,flavor_lemon_votes,flavor_lime_votes,flavor_mango_votes,flavor_menthol_votes,flavor_mint_votes,flavor_nutty_votes,flavor_orange_votes,flavor_peach_votes,flavor_pear_votes,flavor_pepper_votes,flavor_pine_votes,flavor_pineapple_votes,flavor_plum_votes,flavor_pungent_votes,flavor_rose_votes,flavor_sage_votes,flavor_skunk_votes,flavor_spicy_herbal_votes,flavor_strawberry_votes,flavor_sweet_votes,flavor_tar_votes,flavor_tea_votes,flavor_tobacco_votes,flavor_tree_fruit_votes,flavor_tropical_votes,flavor_vanilla_votes,flavor_violet_votes,flavor_woody_votes,negative_anxious_votes,negative_dizzy_votes,negative_dry_eyes_votes,negative_dry_mouth_votes,negative_headache_votes,negative_paranoid_votes,review_total_condition_votes,review_total_effect_votes,review_total_flavor_votes,review_total_negative_votes,review_total_symptom_votes,symptom_cramps_votes,symptom_depression_votes,symptom_eye_pressure_votes,symptom_fatigue_votes,symptom_headaches_votes,symptom_inflammation_votes,symptom_insomnia_votes,symptom_lack_of_appetite_votes,symptom_muscle_spasms_votes,symptom_nausea_votes,symptom_pain_votes,symptom_seizures_votes,symptom_spasticity_votes,symptom_stress_votes
hollands hope,hollands-hope,Indica,0.004381161007667032,"HOLLANDSHOPE,HOLLANDSHOPS",46,2,0,0,15,4,0,2,0,1,0,0,4,1,0,0,1,3,1,0,0,0,3,1,1,2,0,2,13,4,27,8,11,28,17,30,20,7,10,19,0,0,2,4,0,0,0,1,1,0,7,0,1,12,4,3,0,0,1,3,1,0,0,1,0,1,0,0,0,6,0,0,6,0,0,2,2,0,12,0,3,0,1,1,0,1,3,1,3,14,19,3,11,21,50,24,27,33,1,14,1,4,7,1,11,6,0,8,16,0,1,28
afghan kush,afghan-kush,Indica,0.08400627929625532,"AFGANKUSH,AFGHANCUSH,AFGANIKUSH,MBGSAFGHANKUSH,AFGHANKUSH2,AFGHANKUSH,AFGHANKUSHSPECIAL,AFGHANKUSH47",47,73,10,22,274,45,24,44,6,24,14,11,26,20,9,9,21,111,14,9,11,15,39,56,24,17,13,80,164,98,367,123,187,393,361,437,401,131,164,224,2,3,1,15,3,6,4,3,10,6,21,4,24,183,54,9,5,3,3,13,5,4,2,6,18,3,1,3,17,62,4,2,95,2,13,47,40,2,48,12,11,6,8,7,4,7,108,24,110,257,386,52,81,369,818,281,488,548,32,173,33,74,75,42,245,112,75,100,280,14,12,342
jack flash,jack-flash,Hybrid,0.01294484096220007,,48,15,2,2,62,5,4,9,0,2,2,2,4,7,1,0,3,14,1,0,2,1,9,13,2,1,1,18,79,100,104,73,54,133,35,91,19,62,30,114,2,2,1,5,2,3,1,1,6,1,39,0,6,47,13,1,3,2,1,11,5,2,0,2,5,4,0,1,6,17,1,0,17,1,3,13,18,3,38,2,3,2,2,7,3,0,16,9,7,33,51,10,13,78,212,100,73,115,4,50,8,30,18,13,16,14,14,23,54,7,4,78
super skunk,super-skunk,Indica,0.0656981026924276,SUPERSKUNK,49,32,1,6,119,26,8,21,0,5,6,7,10,11,3,4,15,37,10,5,5,5,19,41,7,8,3,45,109,60,199,71,75,232,118,268,142,81,70,140,2,0,0,7,1,3,0,7,3,4,21,3,14,107,19,3,1,2,2,5,1,1,0,2,5,2,1,0,4,22,2,1,80,2,4,142,14,1,76,6,5,5,2,5,2,0,35,19,34,102,164,15,56,174,401,206,219,228,22,97,9,32,34,34,68,53,38,53,123,7,11,152
jamaican pearl,jamaican-pearl,Sativa,0.0042570097196663916,,50,1,0,0,22,0,1,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,5,17,16,27,12,4,24,4,9,6,10,4,20,1,0,0,1,0,0,0,0,3,0,0,0,1,5,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,5,0,0,1,2,0,1,1,0,2,1,5,0,0,2,1,6,12,15,2,4,24,39,14,17,28,0,9,1,3,2,1,3,0,1,7,9,0,0,22
mexican sativa,mexican-sativa,Sativa,0.005666816567851438,AFGHANIXMEXICANSATIVA,51,3,0,3,9,3,0,2,0,1,0,1,1,2,0,0,1,5,0,0,0,0,3,2,1,0,0,8,17,24,25,15,13,28,15,17,6,17,6,21,1,0,0,0,0,0,0,0,1,1,5,1,1,15,3,0,1,0,2,1,1,2,1,2,2,2,0,0,5,10,1,0,3,0,2,3,5,0,6,2,1,6,2,2,0,0,10,4,3,11,21,7,12,17,39,26,28,25,1,17,5,9,4,1,3,5,3,4,8,1,0,16
durban poison,durban-poison,Sativa,0.3430796692609688,"DURBANPOISION,DURBINPOISON,DURBANPOISONB4,DURBANPOISONGTP,DURBANPOISONFEMALE,DURBANPOISON,MTFXDURBANPOISON",52,212,11,30,515,80,30,121,3,22,23,17,56,65,11,14,39,174,14,7,4,17,63,181,22,22,13,284,945,1311,1059,944,347,1170,295,591,98,581,281,1301,14,11,6,28,3,5,1,12,47,10,182,26,94,441,113,12,25,15,16,76,39,18,21,53,37,32,4,10,47,305,10,6,185,8,45,65,143,4,320,17,26,22,21,49,7,6,187,138,117,285,502,74,138,772,1971,909,740,1030,52,586,52,354,181,87,114,154,92,199,405,13,26,689
orange velvet,orange-velvet,Hybrid,0.006317921100477017,"MANDARINVELVET,ORANGEVELVET",53,4,1,2,10,1,1,4,1,2,1,0,0,2,0,2,0,5,0,0,0,1,3,5,1,0,0,13,12,14,21,14,8,24,15,21,2,7,8,24,0,0,0,1,0,1,0,0,0,0,16,0,0,3,1,0,0,2,2,1,0,0,0,1,0,24,0,0,2,1,0,0,3,0,1,2,3,0,8,1,1,0,0,1,2,0,0,4,1,2,6,1,2,17,42,28,10,26,1,12,1,7,8,5,3,6,2,7,9,0,0,19
rocklock,rocklock,Indica,0.002132643236099884,"CKROCKLOCK,ROCKLOCK",54,4,1,1,9,4,5,3,1,0,0,0,2,1,1,0,2,4,1,0,0,1,0,0,2,1,1,5,17,11,13,12,4,17,12,21,9,5,7,12,0,1,0,2,0,1,0,0,1,0,2,0,0,3,1,1,1,0,4,2,1,0,0,0,0,1,0,1,1,0,0,0,3,1,1,1,3,1,6,0,1,0,2,1,0,0,4,1,1,5,11,1,1,11,30,13,14,21,5,9,2,7,4,6,9,8,9,9,14,3,1,14
maple leaf indica,maple-leaf-indica,Indica,0.0060006455866976035,"MAPLELEAF,MAPLELEAFINDICA",57,4,1,1,12,6,1,5,0,3,3,1,3,3,2,2,2,6,2,2,1,0,2,5,3,2,0,7,14,8,16,8,13,18,14,19,15,7,10,7,0,0,0,1,0,0,5,0,0,0,1,0,1,6,2,1,0,6,0,0,1,0,0,0,1,0,0,0,0,2,0,0,2,0,0,2,3,0,11,0,0,0,1,2,3,0,6,0,2,5,13,4,2,16,33,17,18,20,2,8,1,3,3,3,16,4,4,7,14,1,1,14
skydog,skydog,Indica,0.0018981352476542305,,58,4,0,0,10,1,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,4,3,4,8,9,2,10,4,10,4,3,6,9,0,0,0,0,0,0,0,0,1,0,2,0,2,3,1,0,0,0,0,3,1,0,0,0,0,1,0,0,1,2,0,0,2,0,0,3,2,0,2,0,0,0,0,0,0,0,1,0,1,3,5,0,0,12,17,8,7,11,0,5,0,2,2,4,3,1,2,2,6,0,0,9
super green crack,super-green-crack,Sativa,0.006591053934078425,,60,7,0,0,16,4,2,9,1,0,1,1,1,1,0,1,3,7,0,3,0,1,5,5,2,2,1,12,34,56,37,37,15,45,5,13,1,23,12,47,0,2,0,1,3,0,2,3,1,0,15,1,4,10,0,0,3,1,1,10,3,0,1,3,0,3,0,0,0,4,1,0,9,0,1,7,1,1,5,0,1,0,1,1,1,0,3,4,3,8,21,5,5,28,71,28,28,42,3,24,2,15,5,4,5,10,11,4,16,2,2,24
purple afghani,purple-afghani,Indica,0.018269551758671967,"PURPLEAFGHAN,PUREPURPLEAFGHANI,PUREPURPPLEAFGHANI,PUREPURPLEAFGHAN,PUREPURPLEAFGHAN2,PURPLEAFGHANI6627,PURPLEAFGHANI,PUREPURPLEAFGAN,PURRPLEAFGHANI",61,1,0,2,25,2,2,3,0,0,1,0,3,1,0,1,2,7,1,0,0,2,2,4,1,0,0,7,18,1,19,7,9,28,16,36,32,4,11,17,0,0,1,4,2,1,0,2,1,1,2,1,1,15,4,3,2,0,3,1,0,1,0,1,1,0,0,1,1,3,1,2,5,2,3,4,4,0,12,0,1,1,0,1,0,2,7,3,4,10,19,3,4,32,60,27,26,39,1,16,1,5,6,5,19,9,4,8,15,0,1,21
silver surfer,silver-surfer,Hybrid,0.005490245847139416,SILVERSURFER,63,1,0,0,8,1,0,1,0,0,0,0,1,0,1,0,0,4,0,0,0,0,1,1,0,0,0,4,18,23,16,14,9,22,9,12,6,16,9,21,0,1,0,0,0,1,0,1,0,0,3,0,0,3,1,0,0,1,0,1,1,0,0,1,0,1,0,0,2,0,0,1,2,1,0,1,2,0,5,0,1,0,0,0,0,0,4,3,2,4,7,1,7,12,40,14,17,23,1,9,1,5,2,1,10,0,4,3,11,0,0,15
jack kush,jack-kush,Hybrid,0.0021602324112111374,JFKKUSH,66,4,0,0,9,2,1,0,1,0,2,1,1,2,0,0,0,5,1,0,0,0,1,4,1,1,0,2,6,8,14,6,5,12,11,10,3,0,3,9,0,0,0,0,0,0,0,0,0,0,9,0,1,3,1,0,1,0,1,2,1,0,0,0,0,1,0,0,0,2,0,0,5,0,0,1,1,0,7,0,0,0,0,2,0,0,0,1,2,8,6,1,0,13,24,12,11,18,2,9,0,4,3,7,5,6,5,4,9,0,2,13
afghan diesel,afghan-diesel,Hybrid,0.0017022521043643316,AFGHANDIESEL,67,2,0,1,12,0,1,1,0,0,0,0,1,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,7,3,19,6,5,14,6,9,2,4,2,13,0,0,0,0,0,0,0,0,1,2,0,0,5,5,2,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,1,1,0,2,1,0,1,0,0,0,0,0,1,2,7,7,0,5,16,31,13,13,20,1,6,0,2,4,1,7,5,2,3,10,0,0,14
fpog,fpog,Hybrid,0.16117044316491982,"POG,PHOG,FRUITYPEBBLESJM,FRUITYPEBBLESOG,FRUITYPEBBLES,PFOG,SPOG",68,60,5,12,173,30,20,51,2,9,4,10,13,17,9,4,20,47,5,7,7,9,23,62,15,12,2,74,184,164,335,131,201,389,156,311,114,155,105,313,3,11,9,188,2,37,1,3,3,3,68,2,8,39,48,44,27,13,7,38,21,25,2,7,5,37,17,8,5,20,20,11,45,6,5,19,9,39,243,2,8,3,51,140,10,4,8,28,43,92,174,17,30,238,537,339,225,297,19,163,17,74,64,19,76,76,34,68,127,15,12,208
afghani,afghani,Indica,0.07939888705267602,"AFGHAN,AFGHAN110,AFGHAN1,AFGANI,AFGAN,THAIXAFGHANI,AFGHANI,85AFGAN,AFGAN1,AFGANI1,AFGANRUBI,AFGHANRUBI",70,22,3,10,134,31,9,20,3,14,7,11,21,18,6,8,21,41,12,6,6,10,16,50,16,5,3,28,60,32,187,72,74,184,130,280,238,46,61,94,1,1,2,14,1,3,7,4,6,5,18,3,16,138,25,4,4,4,3,12,4,3,1,4,9,2,2,0,11,51,2,4,67,5,10,28,29,0,61,4,6,3,3,4,1,3,49,6,35,81,135,17,13,188,385,198,174,245,23,80,14,30,39,32,148,69,52,49,150,9,17,159
misty kush,misty-kush,Indica,0.0021298843185887585,MISTYKUSH,71,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,10,2,1,14,2,8,2,2,2,6,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,1,2,4,2,1,5,15,5,6,10,0,2,1,0,1,0,1,2,4,2,5,0,0,3
blueberry haze,blueberry-haze,Hybrid,0.02089880014677441,"BLUEBERRYCHEM,BLUEBERRYLEMONHAZE,BLUEBERRYATHENA,BLUEBERRYHAZE",72,16,0,3,63,5,3,8,0,4,0,1,2,2,0,1,1,17,1,1,2,2,8,14,2,1,0,32,61,63,137,39,56,128,52,87,46,40,47,107,1,0,0,37,2,82,0,3,1,0,12,0,4,25,13,1,2,2,3,4,2,1,0,2,1,0,0,0,4,4,0,0,7,1,3,3,6,1,52,0,4,1,5,8,1,1,9,12,18,43,78,8,25,86,209,109,108,115,6,46,4,21,11,7,36,14,17,20,48,1,3,66
pot of gold,pot-of-gold,Indica,0.01306899225020071,POTOFGOLD,74,10,1,3,55,7,1,6,0,0,1,0,8,1,1,0,2,11,2,1,0,1,3,8,4,2,1,7,25,17,60,24,25,65,46,56,54,19,22,53,1,2,1,12,0,3,0,3,0,0,4,0,2,12,5,2,0,1,2,2,0,0,0,0,0,2,0,1,1,4,1,1,6,0,1,13,3,0,20,0,1,1,0,3,1,0,5,4,15,30,41,4,7,66,121,42,55,81,4,27,4,5,8,4,38,10,12,13,54,1,3,61
blue dream,blue-dream,Hybrid,0.9005410237239316,"BLUEDREAMH,TBLUEDREAM,BLUEDREAMB,BLUEDREAMA,BLUEDREAMC,BLUEDREAMRC,3MTBLUEDREAM,BLUEDREAMFC,BLUEDREAMOC,BLUEDREAMMB,BLUEDREAM2UV,3MGBLUEDREAM,BLUEDREAMKC,BLUEDREAMFEM,BLUEDREAMFNO,BLUEDREAMWTN,BLUEDREAMF2DDT,BLUEDREAMHAZE,BLUEDREAMCUSH,BLUEDREAMF2FDT,BANGSBLUEDREAM,LYONSBLUEDREAM,BLUEGRAPEDREAM,BLUEDREAMINDOOR,0000BLUEDREAM,BLUEDREAM1,BLUEDREAM88,BLUEDREAM2,BLUEDREAM3,BLUEDREAM6614,BLUEDREAM,BLUEDREAMSTEVE,BLUEDREAMDOMGG,BLUEDREAMHAZES,BLUEDREAMSATIVA,BLUEDREAMPOST,BLUEDREAMSTEVIE",75,835,43,169,2755,464,178,570,35,134,111,107,272,249,77,60,211,886,99,64,59,70,399,735,199,97,71,1161,3606,2866,4940,2494,2052,5439,2109,4587,1449,2133,1381,4581,27,44,13,1562,61,1929,34,63,58,31,333,31,95,823,526,86,49,75,106,127,54,45,31,110,63,51,30,21,88,365,56,34,473,46,112,236,220,56,1738,25,89,39,89,231,59,48,327,350,620,1516,2830,351,648,3831,8597,3718,3697,5042,377,2593,285,1020,1020,470,1270,904,668,1050,2538,134,177,3489
pineapple thai,pineapple-thai,Sativa,0.0028030601913033404,"PINEAPPLETSUNAMI,PINEAPPLEDAIQUIRI",76,2,0,2,18,4,0,2,0,2,0,1,1,1,0,0,2,6,0,1,0,0,3,5,3,0,0,5,28,24,26,32,10,43,9,26,7,21,3,36,0,1,0,0,0,0,0,1,0,3,8,0,0,7,2,0,2,0,0,3,1,2,0,0,0,2,1,0,2,1,23,0,1,0,0,0,3,0,8,0,2,0,1,9,0,0,3,0,3,11,15,1,1,32,67,30,21,48,1,19,1,11,7,8,8,5,8,8,29,1,1,34
sour chocolate,sour-chocolate,Sativa,0.00037521278151304556,,77,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,2,2,4,2,1,3,3,1,5,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,2,2,0,3,7,2,4,5,0,1,1,3,0,0,4,0,0,2,2,0,0,4
sage n sour,sage-n-sour,Sativa,0.019248967475121462,"SAGESOUR,SAGEANDSOUR,SAGENSOUR",78,16,2,4,61,4,3,9,1,4,4,0,7,4,0,2,3,18,2,1,1,1,6,13,5,2,2,13,49,80,103,59,31,90,22,57,13,31,30,106,1,0,1,2,0,0,0,2,2,1,13,1,29,32,9,1,2,2,4,8,3,0,1,3,1,3,0,0,2,12,1,0,14,1,43,6,21,0,17,0,2,1,2,1,1,1,7,7,10,29,46,8,13,74,158,69,67,98,4,48,8,33,11,6,12,19,10,19,43,1,3,76
bubble gum,bubble-gum,Hybrid,0.18077531099897645,"BUBBLEGUMJM,2DMBUBBLEGUM,CKBUBBLEGUM,BUBBLEYUM,BUBBLEGUMMER,BUBBAGUM,QRIHBUBBLEGUM703,PINKBUBBLEGUM,BANGSBUBBLEGUM,GRAPEBUBBLEGUM,ORANGEBUBBLEGUM,0000BUBBLEGUM,BUBBLEGUM3,BUBBLEGUM,BUBBLEGUMFUNK",79,66,0,16,212,44,15,47,2,10,8,14,16,29,9,5,15,64,3,3,3,3,20,51,16,11,1,74,248,200,426,196,178,501,212,397,152,174,110,357,1,3,1,112,1,18,10,1,4,1,31,1,9,72,105,11,8,10,2,4,3,8,2,11,5,7,5,2,6,17,3,5,44,5,4,11,7,12,267,2,8,3,17,24,14,1,13,25,73,165,254,49,56,299,752,353,340,416,25,222,27,73,74,36,116,82,63,75,208,14,9,298
bubblegun,bubblegun,Hybrid,0.000659381285158955,,80,1,0,1,10,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2,8,2,10,9,5,15,10,9,7,2,2,9,0,0,0,0,0,1,1,0,0,1,0,0,0,2,0,1,0,1,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,1,1,1,3,0,0,1,1,2,1,0,1,0,3,7,10,4,2,12,27,9,11,19,1,5,0,1,3,0,9,4,0,7,9,1,0,12
martian mean green,martian-mean-green,Hybrid,0.003906627195753474,,87,4,1,0,28,3,1,4,0,1,3,1,1,0,0,1,0,7,0,1,0,0,6,8,1,0,0,6,16,22,35,21,14,35,17,21,12,12,12,35,0,0,2,1,1,1,0,0,0,0,7,1,3,2,4,1,4,0,0,5,2,0,0,0,0,0,0,0,0,4,1,1,9,0,1,2,3,1,7,1,1,0,0,1,1,0,3,3,6,9,20,3,4,35,63,21,24,45,2,14,1,5,8,4,7,6,6,11,19,1,0,34
jack the ripper,jack-the-ripper,Sativa,0.02622902877826856,"JACKTHERIPPERH,JACKRIPPER,JACKTHERIPPER",88,43,4,8,124,15,8,22,2,5,6,4,13,10,4,5,7,42,5,4,2,1,19,29,6,7,4,42,135,158,160,109,61,182,57,95,26,82,59,172,4,4,1,5,1,2,3,3,2,1,64,0,10,42,10,3,5,4,1,80,10,4,0,5,2,8,2,3,7,31,3,3,33,1,6,14,18,2,30,3,2,1,3,7,1,1,23,23,24,54,101,18,39,156,309,141,138,188,12,99,10,52,34,24,22,33,19,39,77,4,9,132
richie rich,richie-rich,Hybrid,0.002027804370677121,,89,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,0,3,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,4,1,1,4,0,0,0,0,1,0,1,0,0,0,2,0,0,3
mako haze,mako-haze,Sativa,0.001920206587743233,,90,1,0,1,7,1,1,2,0,0,0,1,0,1,0,0,2,5,0,0,0,0,1,2,0,0,0,3,12,18,24,11,6,21,6,8,0,7,5,21,0,0,0,0,0,0,0,2,0,0,5,0,0,6,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,1,0,2,3,3,0,1,0,0,0,1,1,0,0,2,0,1,5,8,2,1,12,32,10,13,17,0,12,1,3,1,1,1,4,0,4,7,2,0,15
old lyme connecticut og,old-lyme-connecticut-og,Hybrid,0.0,,92,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,3,1,1,2,0,0,0,1,0,0,0,0,0,1,1,0,0,1
m 39,m-39,Indica,0.006450349141011033,,95,5,0,2,40,2,0,1,0,0,2,2,1,2,1,0,1,11,1,1,1,2,2,4,0,1,0,8,27,14,39,22,15,53,50,53,54,20,22,22,0,0,0,0,0,0,0,0,2,0,14,1,2,29,10,0,2,0,0,6,3,0,0,0,3,1,0,0,4,6,0,0,5,0,1,5,6,1,6,2,3,3,0,0,0,0,17,7,21,43,65,26,21,50,124,48,83,74,5,17,6,13,9,1,37,6,6,15,18,0,0,45
grapefruit haze,grapefruit-haze,Sativa,0.005868217546163588,"GRAPEFRUITBLAZE,GRAPFRUITBLAZE",99,2,0,0,8,0,1,1,1,0,0,0,1,1,0,0,0,3,0,0,0,0,0,2,0,1,0,3,13,14,20,7,9,22,7,14,4,7,5,19,0,0,0,1,0,0,0,0,0,0,10,0,2,5,2,1,20,0,2,5,1,0,1,0,0,1,0,0,6,0,0,0,3,0,0,1,5,0,3,0,0,0,0,0,0,0,0,2,5,6,15,2,5,12,33,24,19,16,0,11,1,6,2,0,3,4,3,2,4,0,1,14
kahuna,kahuna,Indica,0.00014346371057851742,BIGKAHUNA,103,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,3,2,0,2,0,2,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,2,2,0,0,3,6,2,2,4,0,1,0,0,1,0,2,0,0,0,3,0,0,4
khola,khola,Hybrid,0.0005490245847139416,,104,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,1,4,1,3,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,3,3,0,1,4,5,1,4,4,0,1,0,1,0,0,2,0,0,0,0,0,0,4
lions gate,lions-gate,Indica,0.002176785916277889,,106,1,0,0,2,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,1,3,2,5,0,3,0,1,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,3,5,2,3,4,0,0,0,0,1,1,1,1,0,1,1,0,0,3
mazar i sharif,mazar-i-sharif,Indica,0.01627485439812835,,107,6,4,2,26,9,5,7,2,1,1,1,6,6,2,0,5,10,4,3,1,4,3,7,5,4,3,8,21,12,38,18,10,36,24,55,43,7,10,19,0,0,0,2,0,0,1,1,0,0,3,0,0,17,9,1,0,1,3,1,0,0,0,1,0,0,0,0,3,5,0,0,6,1,2,2,6,0,9,0,1,1,0,0,0,1,4,2,6,18,25,5,9,43,84,28,36,60,4,21,3,3,7,11,37,13,10,11,38,2,3,30
morning star,morning-star,Hybrid,0.001004245974049622,MORNINGFROST,108,0,0,1,9,0,0,0,0,1,0,0,0,1,0,1,1,4,0,1,0,0,1,1,1,0,0,2,6,7,12,6,4,9,2,5,3,6,2,12,0,0,0,1,0,1,0,0,0,0,3,0,1,2,1,1,1,0,1,1,1,0,0,1,0,2,0,0,0,3,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,4,7,10,4,3,10,19,5,12,14,1,3,1,2,3,1,4,3,1,4,4,1,1,11
ogre,ogre,Hybrid,0.010649421592943792,"OGRE,OGREOG",109,11,0,3,87,11,12,13,0,2,1,3,7,11,0,1,7,24,2,2,2,2,12,20,2,1,2,31,59,21,115,41,36,125,57,139,103,38,44,75,1,1,1,7,1,2,0,1,5,1,40,3,11,39,7,0,0,0,2,32,2,1,1,1,4,2,0,0,3,20,0,0,33,0,2,28,13,0,19,2,4,0,3,1,1,0,10,5,22,37,71,12,15,113,223,97,99,158,11,55,9,16,19,15,81,30,26,36,79,3,7,104
purple cream,purple-cream,Indica,0.008687831242533679,PURPLEGRENADE,111,6,0,3,25,4,2,5,0,2,0,1,3,3,1,2,1,12,1,1,0,0,7,7,5,2,0,5,10,4,20,8,9,29,21,27,26,7,14,17,0,1,0,5,1,1,0,1,1,0,2,0,2,8,6,4,2,0,3,0,0,0,0,0,0,0,0,1,0,5,0,1,9,2,1,4,2,0,11,0,0,0,4,4,2,0,0,2,5,12,14,3,5,33,53,16,19,40,5,13,1,5,6,3,18,7,9,7,20,2,2,29
romulan,romulan,Indica,0.04641051037215038,"R2D2ROMULAN,ROMULIN,LAXROMULAN,ROMULAN,PURPLEROMULAN,PURPLEROMULANH,ROMULANSKUNK",112,38,2,15,184,43,7,41,0,15,10,11,32,28,11,7,22,69,15,10,9,11,41,66,28,12,8,54,89,37,272,93,102,275,171,351,329,54,102,154,0,1,1,16,2,7,1,7,7,3,27,3,10,103,18,11,6,2,4,10,2,3,2,8,11,2,2,2,10,95,2,2,57,2,11,16,22,1,66,3,5,5,3,13,2,4,52,12,55,118,192,34,34,268,578,212,264,419,38,142,23,55,68,60,244,80,95,101,259,19,25,264
seattle blue,seattle-blue,Indica,0.0010125227265829978,,113,1,0,0,3,0,1,1,0,0,0,1,1,1,0,0,1,3,0,0,0,1,1,0,0,0,0,3,7,3,10,4,2,5,4,4,2,3,0,8,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,1,4,5,0,1,6,13,4,6,6,0,2,0,0,0,0,4,1,1,1,4,0,0,3
sensi star,sensi-star,Indica,0.058789773244569764,"SENSISTAROGKUSH,SENSISTAR,SENSISTARDAWG",114,37,1,11,173,38,9,36,3,5,7,6,18,15,3,4,11,53,9,4,2,5,24,44,4,8,3,63,117,67,232,93,76,242,137,314,209,63,99,167,2,4,1,18,1,3,5,3,5,3,41,4,10,121,36,7,6,5,4,20,4,4,1,6,9,6,3,4,9,39,2,2,59,3,10,30,17,1,68,1,14,3,8,5,3,4,43,17,47,95,163,19,34,224,482,214,225,312,24,115,10,46,54,32,144,53,40,74,186,11,14,198
